,Image,Accuracy,F1,Jaccard,Recall,Precision
241,2487,0.993896484375,0.7461928934010151,0.5951417004048583,0.98,0.6024590163934426
242,2490,0.99560546875,0.9566787003610108,0.916955017301038,0.9589867310012062,0.9543817527010804
243,2496,0.995849609375,0.0,0.0,0.0,1.0
244,250,0.998779296875,0.9285714285714285,0.8666666666666667,0.9090909090909091,0.948905109489051
245,2505,0.97357177734375,0.5028702640642938,0.33588957055214724,0.9690265486725663,0.3395348837209302
246,2526,0.99224853515625,0.8621064060803475,0.7576335877862596,0.9407582938388626,0.7955911823647295
247,2530,0.9913330078125,0.0,0.0,0.0,1.0
248,2538,0.9805908203125,0.0,0.0,0.0,1.0
249,2539,0.98114013671875,0.0,0.0,0.0,1.0
250,2553,0.99652099609375,0.8106312292358804,0.6815642458100558,0.8905109489051095,0.7439024390243902
251,2555,0.99114990234375,0.0,0.0,0.0,1.0
252,2566,0.994873046875,0.0,0.0,0.0,1.0
253,2567,0.9974365234375,0.8858695652173914,0.7951219512195122,0.8578947368421053,0.9157303370786517
254,2570,0.99688720703125,0.918918918918919,0.85,0.8601190476190477,0.9863481228668942
255,2573,0.9957275390625,0.8689138576779025,0.7682119205298014,0.8721804511278195,0.8656716417910447
256,2582,0.99755859375,0.9253731343283583,0.8611111111111112,0.9393939393939394,0.9117647058823529
257,2584,0.997802734375,0.8909090909090909,0.8032786885245902,0.901840490797546,0.8802395209580839
258,2586,0.9925537109375,0.7579365079365079,0.610223642172524,0.6345514950166113,0.9408866995073891
259,2592,0.99395751953125,0.7824175824175824,0.6425992779783394,0.652014652014652,0.978021978021978
260,2599,0.99420166015625,0.7710843373493976,0.6274509803921569,1.0,0.6274509803921569
261,2606,0.9639892578125,0.5636094674556212,0.39237899073120497,0.47270471464019853,0.6978021978021978
262,2609,0.98388671875,0.0,0.0,0.0,1.0
263,2610,0.98675537109375,0.5719921104536488,0.4005524861878453,0.4005524861878453,1.0
264,2619,0.9791259765625,0.6139954853273139,0.44299674267100975,0.45107794361525705,0.9611307420494699
265,2620,0.98394775390625,0.7021517553793885,0.5410122164048866,0.5555555555555556,0.9538461538461539
266,2622,0.99310302734375,0.8794023479188902,0.7847619047619048,0.8784648187633263,0.8803418803418803
267,2636,0.995361328125,0.9161147902869757,0.845213849287169,0.8905579399141631,0.9431818181818182
268,2650,0.997314453125,0.8571428571428571,0.75,0.7764705882352941,0.9565217391304348
269,2666,0.990478515625,0.6548672566371682,0.4868421052631579,0.5103448275862069,0.9135802469135802
